Level;Item;Quantity;UM;Mat-No/Doc;Kind;PTYP;Validfrom;Validto;Docu-No/He
1;0001;1,000;ST;00000000-000-1;01;01;01.05.2023;31.12.9999;VQUXAFS USQZZBQ
2;0002;1,000;ST;00000000-000-2;02;02;;;OATNQUX PSHPVCV
2;0003;1,000;ST;00000000-000-2;02;02;;;OATNQUX PSHPVCV
2;0004;1,000;ST;00000000-000-3;03;03;01.05.2023;31.12.9999;ZDQOPSL TYVAACU
3;0005;1,000;ST;00000000-000-4;04;01;01.07.2020;31.12.9999;KONMWYG STKLVCF
3;0006;1,000;ST;00000000-000-5;05;03;01.07.2020;31.12.9999;XNHECXU OZLKIEV
0;0007;1,000;;00000000-000-6;02;04;;;OATNQUX PSHPVCV
3;0008;1,000;ST;00000000-000-7;05;03;01.07.2020;31.12.9999;CXNQSDE ETDYEOG
0;0007;1,000;;00000000-000-6;02;04;;;OATNQUX PSHPVCV
3;0009;1,000;ST;00000000-000-8;05;03;01.07.2020;31.12.9999;KFCUQGV LNVXFZW
3;0010;2,000;ST;00000000-000-9;05;03;01.07.2020;31.12.9999;OCCNTKQ VXVCZAT
0;0007;1,000;;00000000-000-6;02;04;;;OATNQUX PSHPVCV
0;0007;1,000;;00000000-000-6;02;04;;;OATNQUX PSHPVCV
3;0011;1,000;M;00000000-001-0;05;03;01.07.2020;31.12.9999;TEFXIOE UIQSYAR
3;0012;4,000;ST;00000000-001-1;05;03;01.07.2020;31.12.9999;KRSNEIP RALKDQP
3;0013;4,000;ST;00000000-001-2;05;03;01.07.2020;31.12.9999;IHRRFBR JPZWKSU
3;0014;1,000;ST;00000000-001-3;05;03;01.07.2020;31.12.9999;TMVVKZL FDPURDB
3;0015;1,000;ST;00000000-001-4;03;03;01.07.2020;31.12.9999;DUMFYOM BYBSYZA
4;0001;1,000;ST;00000000-001-5;03;03;01.10.1985;31.12.9999;DUMFYOM BYBSYZA
4;0016;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;BTQTQVY OQPTQDC
4;0017;3,000;ST;00000000-001-7;05;03;01.10.1985;31.12.9999;DCWOXQF UMRMDIR
4;0018;3,000;ST;00000000-001-8;05;03;01.10.1985;31.12.9999;NTDLZKD JYBBICP
4;0006;3,000;ST;00000000-001-9;05;03;01.10.1985;31.12.9999;EXLHKJX WFDBJUH
4;0014;3,000;ST;00000000-002-0;05;03;01.10.1985;31.12.9999;GZHNNHA WLHQTYU
4;0019;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;BTQTQVY OQPTQDC
3;0020;1,000;ST;00000000-002-1;03;03;01.07.2020;31.12.9999;EVNPNPQ OFESYTQ
4;0001;1,000;ST;00000000-002-2;03;03;01.10.1985;31.12.9999;EVNPNPQ OFESYTQ
4;0016;2,000;ST;00000000-002-3;05;03;01.10.1985;31.12.9999;OZKQPWD YTNUVPH
3;0004;1,000;ST;00000000-002-4;03;03;01.07.2020;31.12.9999;LEQRLDS JQLVEQR
4;0001;1,000;ST;00000000-002-5;03;03;01.01.2022;31.12.9999;UCVPOJI MWADBQF
4;0016;2,000;ST;00000000-002-6;05;03;01.07.2006;31.12.9999;BZURAIC AOANPYE
4;0017;4,000;ST;00000000-002-7;05;03;01.10.1985;31.12.9999;IYULGLE RSFHFZZ
4;0018;4,000;ST;00000000-002-8;05;03;01.10.1985;31.12.9999;HQOJNNI RREEHOT
4;0006;10,000;ST;00000000-002-9;05;03;01.10.1985;31.12.9999;NUCZLDD XFSVEBJ
4;0014;17,000;ST;00000000-003-0;05;03;01.10.1985;31.12.9999;GPKVJDS XMEBLWQ
4;0019;2,000;ST;00000000-003-1;05;03;01.07.2016;31.12.9999;HQGYWLE YDIUVWJ
3;0021;18,000;ST;00000000-003-2;03;03;01.07.2020;31.12.9999;LWNIMYL CTIYLAQ
4;0022;18,000;ST;00000000-003-3;05;03;01.01.2014;31.12.9999;IYXZHMQ OLXHPFI
3;0023;1,000;ST;00000000-003-4;03;03;01.07.2020;31.12.9999;LCANGIM PQTZXFE
4;0001;1,000;ST;00000000-003-5;03;03;01.01.2021;31.12.9999;XYZLKNQ FKUOJTW
4;0016;12,000;ST;00000000-003-6;05;03;01.10.1985;31.12.9999;KPAWTDQ QHLERES
4;0017;2,000;ST;00000000-003-7;05;03;01.10.1985;31.12.9999;HDAJGLR NYWFRRG
3;0024;1,000;ST;00000000-003-8;03;03;01.07.2020;31.12.9999;RGZXPPF BSDECOG
4;0001;1,000;ST;00000000-003-9;03;03;01.10.1985;31.12.9999;RGZXPPF BSDECOG
5;0001;1,000;ST;00000000-004-0;03;03;01.10.1985;31.12.9999;QOGTJXY HUECHFX
4;0016;2,000;ST;00000000-004-1;05;03;01.10.1985;31.12.9999;RERBLKZ BLHCPNF
3;0025;1,000;ST;00000000-004-2;06;01;01.07.2020;31.12.9999;LWFEXLX JPMIUIK
4;0001;1,000;ST;00000000-004-3;03;03;01.10.1997;31.12.9999;LVUHJHK OMDREGO
5;0001;0,190;M;00000000-004-4;05;05;01.10.1985;31.12.9999;DZRTKSW XZXKUAH
4;0016;4,000;ST;00000000-004-5;05;03;01.10.1985;31.12.9999;OFSRBPP PMUFFVW
3;0026;2,000;ST;00000000-004-6;03;03;01.07.2020;31.12.9999;KBNTEIG QUOJPOO
4;0001;0,172;M;00000000-004-7;05;05;01.10.1985;31.12.9999;WWXPHDA HLZCRYN
3;0027;2,000;ST;00000000-004-8;05;03;01.07.2020;31.12.9999;MXOFXZM XKRPRAX
3;0028;2,000;ST;00000000-004-9;05;03;01.07.2020;31.12.9999;KDHLABT PWPXSWD
3;0029;1,000;ST;00000000-005-0;03;03;01.07.2020;31.12.9999;QNQMKTD XAESOBZ
4;0001;1,000;ST;00000000-005-1;03;03;01.01.2004;31.12.9999;MGAQCCX HSQQXTX
4;0016;8,000;ST;00000000-005-2;05;03;01.10.1985;31.12.9999;AZIFCJG WADGGTM
4;0017;8,000;ST;00000000-005-3;05;03;01.07.2006;31.12.9999;CDTLZUD QPGPTGJ
3;0030;1,000;ST;00000000-005-4;05;03;01.07.2020;31.12.9999;VZVNAGX BWNMSTP
3;0031;1,000;ST;00000000-005-5;05;03;01.07.2020;31.12.9999;FWKWIKE PXFXZTK
3;0032;1,000;ST;00000000-005-6;03;03;01.07.2020;31.12.9999;JBQICWB AHTGNOB
4;0001;0,014;M;00000000-005-7;05;05;01.10.1985;31.12.9999;HGZGBNK SWSLVEF
3;0033;1,000;ST;00000000-005-8;05;03;01.07.2020;31.12.9999;CQPBMMR UWDPWNE
3;0034;4,000;ST;00000000-005-9;03;03;01.07.2020;31.12.9999;PRQVWDH QFQYGAR
4;0001;4,000;ST;00000000-006-0;03;03;01.10.1985;31.12.9999;PRQVWDH QFQYGAR
4;0016;8,000;ST;00000000-006-1;05;03;01.10.1985;31.12.9999;EXXHSVY QDFACKM
3;0035;1,000;ST;00000000-006-2;03;03;01.07.2020;31.12.9999;JWQEAFC FCPZBYM
4;0001;1,000;ST;00000000-006-3;03;03;01.10.1985;31.12.9999;JWQEAFC FCPZBYM
4;0016;2,000;ST;00000000-006-4;05;03;01.10.1985;31.12.9999;LZCGMAQ ZFIDRGZ
