Level;Item;Quantity;UM;Mat-No/Doc;Kind;PTYP;Validfrom;Validto;Docu-No/He
1;0001;1,000;ST;00000000-000-1;01;01;01.11.2023;31.12.9999;NZVOGOB IQNSLND
2;0002;1,000;ST;00000000-000-2;02;02;;;OJFVEJJ XIBVPQR
2;0003;1,000;ST;00000000-000-3;03;03;01.11.2023;31.12.9999;HXCMSYU ADSFSYC
3;0004;1,000;ST;00000000-000-4;04;01;01.07.2020;31.12.9999;IOVDAYM IMWYDHQ
3;0005;1,000;ST;00000000-000-5;05;03;01.07.2020;31.12.9999;QTTQYKB TLFSPIO
0;0006;1,000;;00000000-000-6;02;04;;;OJFVEJJ XIBVPQR
3;0007;1,000;ST;00000000-000-7;05;03;01.07.2020;31.12.9999;FMPLLHO UGSPRFY
0;0006;1,000;;00000000-000-6;02;04;;;OJFVEJJ XIBVPQR
3;0008;1,000;ST;00000000-000-8;05;03;01.07.2020;31.12.9999;KFOOREK KZPTOAP
3;0009;2,000;ST;00000000-000-9;05;03;01.07.2020;31.12.9999;CPKLPXD ZGNSZCV
0;0006;1,000;;00000000-000-6;02;04;;;OJFVEJJ XIBVPQR
0;0006;1,000;;00000000-000-6;02;04;;;OJFVEJJ XIBVPQR
3;0010;1,000;M;00000000-001-0;05;03;01.07.2020;31.12.9999;NABHFCI FQDYEEV
3;0011;4,000;ST;00000000-001-1;05;03;01.07.2020;31.12.9999;MARWGZS QHEBHVL
3;0012;4,000;ST;00000000-001-2;05;03;01.07.2020;31.12.9999;ZBWRCOW YNMIYHW
3;0013;1,000;ST;00000000-001-3;05;03;01.07.2020;31.12.9999;YGMKTHN GVVTCDX
3;0014;1,000;ST;00000000-001-4;03;03;01.07.2020;31.12.9999;TWFYHXG PHGCPZO
4;0001;1,000;ST;00000000-001-5;03;03;01.10.1985;31.12.9999;TWFYHXG PHGCPZO
4;0015;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;MENISVR ARRNOYS
4;0016;3,000;ST;00000000-001-7;05;03;01.10.1985;31.12.9999;FAYZLZF QHKQJPJ
4;0017;3,000;ST;00000000-001-8;05;03;01.10.1985;31.12.9999;YGIEIZT QHKJHFS
4;0005;3,000;ST;00000000-001-9;05;03;01.10.1985;31.12.9999;FOKTZOJ HIDEZIV
4;0013;3,000;ST;00000000-002-0;05;03;01.10.1985;31.12.9999;XDRIGIB LIJFYZO
4;0018;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;MENISVR ARRNOYS
3;0019;1,000;ST;00000000-002-1;03;03;01.07.2020;31.12.9999;SNPDTNL TZXKBZR
4;0001;1,000;ST;00000000-002-2;03;03;01.10.1985;31.12.9999;SNPDTNL TZXKBZR
4;0015;2,000;ST;00000000-002-3;05;03;01.10.1985;31.12.9999;XFZIQXT ETBBXQU
3;0003;1,000;ST;00000000-002-4;03;03;01.07.2020;31.12.9999;FBNAOVO VNBGVKD
4;0001;1,000;ST;00000000-002-5;03;03;01.01.2022;31.12.9999;DTXEIKN DJWIBVN
4;0015;2,000;ST;00000000-002-6;05;03;01.07.2006;31.12.9999;TOCWWQN XKKMECC
4;0016;4,000;ST;00000000-002-7;05;03;01.10.1985;31.12.9999;RYCVNPB ZDWOGHB
4;0017;4,000;ST;00000000-002-8;05;03;01.10.1985;31.12.9999;SRRMABB YZJYUPF
4;0005;10,000;ST;00000000-002-9;05;03;01.10.1985;31.12.9999;JNREHKL LTMOFMU
4;0013;17,000;ST;00000000-003-0;05;03;01.10.1985;31.12.9999;LFHQJLF TSZEBBT
4;0018;2,000;ST;00000000-003-1;05;03;01.07.2016;31.12.9999;ZSXTAVQ QEJZWQH
3;0020;18,000;ST;00000000-003-2;03;03;01.07.2020;31.12.9999;XFYUOHN TCHKDZQ
4;0021;18,000;ST;00000000-003-3;05;03;01.01.2014;31.12.9999;URAFJSL APVFQDV
3;0022;1,000;ST;00000000-003-4;03;03;01.07.2020;31.12.9999;AYRMVYV NBJMUFF
4;0001;1,000;ST;00000000-003-5;03;03;01.01.2021;31.12.9999;QPIWWAV NITNXVW
4;0015;12,000;ST;00000000-003-6;05;03;01.10.1985;31.12.9999;PCPYDSS EQYIBUG
4;0016;2,000;ST;00000000-003-7;05;03;01.10.1985;31.12.9999;QRSOMGK ANJUDZN
3;0023;1,000;ST;00000000-003-8;03;03;01.07.2020;31.12.9999;PXZXDZY ZTOQNNM
4;0001;1,000;ST;00000000-003-9;03;03;01.10.1985;31.12.9999;PXZXDZY ZTOQNNM
5;0001;1,000;ST;00000000-004-0;03;03;01.10.1985;31.12.9999;YKNUGPX RAYLPLP
4;0015;2,000;ST;00000000-004-1;05;03;01.10.1985;31.12.9999;PGEASEP SYKYUIQ
3;0024;1,000;ST;00000000-004-2;06;01;01.07.2020;31.12.9999;XEYZSYB DVZWKQX
4;0001;1,000;ST;00000000-004-3;03;03;01.10.1997;31.12.9999;XBMONIJ MKQUIXG
5;0001;0,190;M;00000000-004-4;05;05;01.10.1985;31.12.9999;LDWLGGT WALWNOL
4;0015;4,000;ST;00000000-004-5;05;03;01.10.1985;31.12.9999;LEDIORV XXKHZGK
3;0025;2,000;ST;00000000-004-6;03;03;01.07.2020;31.12.9999;UHEKAVR RDLDKDB
4;0001;0,172;M;00000000-004-7;05;05;01.10.1985;31.12.9999;AASZUXB FMMUFLN
3;0026;2,000;ST;00000000-004-8;05;03;01.07.2020;31.12.9999;GMEHZIC SHLMTUU
3;0027;2,000;ST;00000000-004-9;05;03;01.07.2020;31.12.9999;ASFDNUW WSHEIJO
3;0028;1,000;ST;00000000-005-0;03;03;01.07.2020;31.12.9999;USQVJDL RHVLVYI
4;0001;1,000;ST;00000000-005-1;03;03;01.01.2004;31.12.9999;TGMBDHF UGQSQRJ
4;0015;8,000;ST;00000000-005-2;05;03;01.10.1985;31.12.9999;UXCQZNX OVRJQIJ
4;0016;8,000;ST;00000000-005-3;05;03;01.07.2006;31.12.9999;LJSSVOD LUDFBJA
3;0029;1,000;ST;00000000-005-4;05;03;01.07.2020;31.12.9999;LACTMBX JSUVLKE
3;0030;1,000;ST;00000000-005-5;05;03;01.07.2020;31.12.9999;KUSNYWJ XXZVCGI
3;0031;1,000;ST;00000000-005-6;03;03;01.07.2020;31.12.9999;CZLXEXD VPQDGLB
4;0001;0,014;M;00000000-005-7;05;05;01.10.1985;31.12.9999;QYWJEYA ZKRDNQO
3;0032;1,000;ST;00000000-005-8;05;03;01.07.2020;31.12.9999;CCXJVPH SJXGMBP
3;0033;4,000;ST;00000000-005-9;03;03;01.07.2020;31.12.9999;FCJRKIG ZDLYHHD
4;0001;4,000;ST;00000000-006-0;03;03;01.10.1985;31.12.9999;FCJRKIG ZDLYHHD
4;0015;8,000;ST;00000000-006-1;05;03;01.10.1985;31.12.9999;PTURHOS MSTLWTY
3;0034;1,000;ST;00000000-006-2;03;03;01.07.2020;31.12.9999;OYDRXLT IILCIID
4;0001;1,000;ST;00000000-006-3;03;03;01.10.1985;31.12.9999;OYDRXLT IILCIID
4;0015;2,000;ST;00000000-006-4;05;03;01.10.1985;31.12.9999;ZLLNHED PDPFMWT
4;0016;2,000;ST;00000000-006-5;05;03;01.10.1985;31.12.9999;JPGNOIK EIGKVJH
4;0005;2,000;ST;00000000-006-6;05;03;01.10.1985;31.12.9999;KIOZGPM HIXOPUZ
4;0013;1,000;ST;00000000-006-7;05;03;01.07.2005;31.12.9999;VNMKOAY TFOTASV
3;0035;1,000;ST;00000000-006-8;03;03;01.07.2020;31.12.9999;DEDMVWE UBFGHGC
4;0001;1,000;ST;00000000-006-9;03;03;01.10.1985;31.12.9999;DEDMVWE UBFGHGC
4;0005;4,000;ST;00000000-007-0;05;03;01.10.1985;31.12.9999;HIZYNLI VUZGIIR
4;0013;1,000;ST;00000000-007-1;05;03;01.10.1985;31.12.9999;DZFGWRE DUCUYUA
