Level;Item;Quantity;UM;Mat-No/Doc;Kind;PTYP;Validfrom;Validto;Docu-No/He
1;0001;1,000;ST;00000000-000-1;01;01;01.11.2023;31.12.9999;GAWBAIW XAPYZPG
2;0002;1,000;ST;00000000-000-2;02;02;;;IFQCSJR MZQBIAA
2;0003;1,000;ST;00000000-000-3;03;03;01.11.2023;31.12.9999;MOYBQIP SHADDSI
3;0004;1,000;ST;00000000-000-4;04;01;01.07.2020;31.12.9999;KQZVPZL KBBQFMT
3;0005;1,000;ST;00000000-000-5;05;03;01.07.2020;31.12.9999;BFZSIWL MQXIGQP
0;0006;1,000;;00000000-000-6;02;04;;;IFQCSJR MZQBIAA
3;0007;1,000;ST;00000000-000-7;05;03;01.07.2020;31.12.9999;YPZPRIC JRGSBOB
0;0006;1,000;;00000000-000-6;02;04;;;IFQCSJR MZQBIAA
3;0008;1,000;ST;00000000-000-8;05;03;01.07.2020;31.12.9999;NXLKVWR BAKVVXY
3;0009;2,000;ST;00000000-000-9;05;03;01.07.2020;31.12.9999;ZCMIIVM LBBOEQR
0;0006;1,000;;00000000-000-6;02;04;;;IFQCSJR MZQBIAA
0;0006;1,000;;00000000-000-6;02;04;;;IFQCSJR MZQBIAA
3;0010;1,000;M;00000000-001-0;05;03;01.07.2020;31.12.9999;OTAGHJY SLXLTYW
3;0011;4,000;ST;00000000-001-1;05;03;01.07.2020;31.12.9999;OOTVLEJ PUJSTPB
3;0012;4,000;ST;00000000-001-2;05;03;01.07.2020;31.12.9999;WKWRFZN HKOONZH
3;0013;1,000;ST;00000000-001-3;05;03;01.07.2020;31.12.9999;QOXOWPW MHTSMIY
3;0014;1,000;ST;00000000-001-4;03;03;01.07.2020;31.12.9999;YQOOUXW BBTOZJH
4;0001;1,000;ST;00000000-001-5;03;03;01.10.1985;31.12.9999;YQOOUXW BBTOZJH
4;0015;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;EFGXFCZ FMDWZFJ
4;0016;3,000;ST;00000000-001-7;05;03;01.10.1985;31.12.9999;CDYTQOI TZZTBLP
4;0017;3,000;ST;00000000-001-8;05;03;01.10.1985;31.12.9999;NDAXGPH CMVGGZT
4;0005;3,000;ST;00000000-001-9;05;03;01.10.1985;31.12.9999;ELSURMY XVVIUYK
4;0013;3,000;ST;00000000-002-0;05;03;01.10.1985;31.12.9999;FHEDQJS ICYTQCA
4;0018;3,000;ST;00000000-001-6;05;03;01.10.1985;31.12.9999;EFGXFCZ FMDWZFJ
3;0019;1,000;ST;00000000-002-1;03;03;01.07.2020;31.12.9999;RDMKPPP OHYKYQP
4;0001;1,000;ST;00000000-002-2;03;03;01.10.1985;31.12.9999;RDMKPPP OHYKYQP
4;0015;2,000;ST;00000000-002-3;05;03;01.10.1985;31.12.9999;IEPLQXX FRCPPAW
3;0003;1,000;ST;00000000-002-4;03;03;01.07.2020;31.12.9999;ITBBKXF SIYFJUQ
4;0001;1,000;ST;00000000-002-5;03;03;01.01.2022;31.12.9999;ZGTSTCZ YJHZEDM
4;0015;2,000;ST;00000000-002-6;05;03;01.07.2006;31.12.9999;LJVZPTG OWIOSJQ
4;0016;4,000;ST;00000000-002-7;05;03;01.10.1985;31.12.9999;VRGHCGF KJXWXWK
4;0017;4,000;ST;00000000-002-8;05;03;01.10.1985;31.12.9999;JUBFUTG ZCFUBKK
4;0005;10,000;ST;00000000-002-9;05;03;01.10.1985;31.12.9999;JLDATIC SBSCXGB
4;0013;17,000;ST;00000000-003-0;05;03;01.10.1985;31.12.9999;AXDRWWE CGIYQKW
4;0018;2,000;ST;00000000-003-1;05;03;01.07.2016;31.12.9999;OANAWVA YTVENIR
3;0020;18,000;ST;00000000-003-2;03;03;01.07.2020;31.12.9999;SJDXNFZ FCCEOGH
4;0021;18,000;ST;00000000-003-3;05;03;01.01.2014;31.12.9999;EUBCYFE AFBBLAB
3;0022;1,000;ST;00000000-003-4;03;03;01.07.2020;31.12.9999;EHMINNJ XFBCFXI
4;0001;1,000;ST;00000000-003-5;03;03;01.01.2021;31.12.9999;YKWHOTT YUBPCMR
4;0015;12,000;ST;00000000-003-6;05;03;01.10.1985;31.12.9999;DCVBEXA UPWASXH
4;0016;2,000;ST;00000000-003-7;05;03;01.10.1985;31.12.9999;PZZTIVC UFTWGIF
3;0023;1,000;ST;00000000-003-8;03;03;01.07.2020;31.12.9999;NLTLART DFBAAIE
4;0001;1,000;ST;00000000-003-9;03;03;01.10.1985;31.12.9999;NLTLART DFBAAIE
5;0001;1,000;ST;00000000-004-0;03;03;01.10.1985;31.12.9999;VAHVWMJ UBVURPJ
4;0015;2,000;ST;00000000-004-1;05;03;01.10.1985;31.12.9999;WCFYOVH ECPSFNL
3;0024;1,000;ST;00000000-004-2;06;01;01.07.2020;31.12.9999;UYTHNXZ FLAKVVS
4;0001;1,000;ST;00000000-004-3;03;03;01.10.1997;31.12.9999;JXQJCKG CVBLMWQ
5;0001;0,190;M;00000000-004-4;05;05;01.10.1985;31.12.9999;XSDQYXA DCMDRJR
4;0015;4,000;ST;00000000-004-5;05;03;01.10.1985;31.12.9999;QENTZOU EYIDDER
3;0025;2,000;ST;00000000-004-6;03;03;01.07.2020;31.12.9999;CRWABIH TWUXYSG
4;0001;0,172;M;00000000-004-7;05;05;01.10.1985;31.12.9999;VEFKAPM ROSNIWS
3;0026;2,000;ST;00000000-004-8;05;03;01.07.2020;31.12.9999;TVMUSIA KPDQAKX
3;0027;2,000;ST;00000000-004-9;05;03;01.07.2020;31.12.9999;HTVBVOJ UCTCPFL
3;0028;1,000;ST;00000000-005-0;03;03;01.07.2020;31.12.9999;DEMSMOZ BHCFJGK
4;0001;1,000;ST;00000000-005-1;03;03;01.01.2004;31.12.9999;OCTZEOJ UWMMHJZ
4;0015;8,000;ST;00000000-005-2;05;03;01.10.1985;31.12.9999;STSDDOH LQYOVXG
4;0016;8,000;ST;00000000-005-3;05;03;01.07.2006;31.12.9999;MTWLIYF AACKQCJ
3;0029;1,000;ST;00000000-005-4;05;03;01.07.2020;31.12.9999;IAGFEAJ NKBGRDD
